nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 26 3d_noquant_before_drift 17.657420472781386 1.0
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 27 gem_after_threshold 56.697661476844466 0.501
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 27 wir_after_threshold 48.26827803106746 0.517
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 27 pad_after_threshold 43.10600713333737 0.519
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 27 opt_after_threshold 57.88519811330646 0.5213068181818182
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 27 str_after_threshold 31.572572988592185 0.627
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 27 pix_after_threshold 22.224052193581446 0.715
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 27 3d_noquant_after_drift 22.081401498319096 0.743
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 27 3d_noquant_before_drift 21.461631873583638 0.9
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 28 gem_after_threshold 56.719904481645365 0.521
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 28 wir_after_threshold 47.092610695156104 0.516
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 28 pad_after_threshold 42.80860222438957 0.492
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 28 opt_after_threshold 57.95513062685405 0.5220883534136547
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 28 str_after_threshold 28.237058687493633 0.631
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 28 pix_after_threshold 18.58844846133761 0.694
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 28 3d_noquant_after_drift 18.378255194822426 0.746
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 28 3d_noquant_before_drift 17.440442871107727 0.95
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 29 gem_after_threshold 57.99829685752924 0.497
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 29 wir_after_threshold 46.3767284791807 0.504
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 29 pad_after_threshold 41.04131837646408 0.51
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 29 opt_after_threshold 56.93173650863652 0.5018495684340321
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 29 str_after_threshold 29.18815981266142 0.638
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 29 pix_after_threshold 19.162099355969573 0.744
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 29 3d_noquant_after_drift 18.944755478401643 0.772
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 29 3d_noquant_before_drift 18.669644249067858 0.951
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 30 gem_after_threshold 57.52905060298161 0.494
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 30 wir_after_threshold 48.06611684308172 0.497
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 30 pad_after_threshold 42.61658392029001 0.513
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 30 opt_after_threshold 57.96020445656722 0.4915254237288136
